head,relation,tail
NCT04683679,sponsored_by,Memorial Sloan Kettering Cancer Center
NCT04683679,has_status,RECRUITING
NCT04683679,tests,Pembrolizumab
Pembrolizumab,has_type,DRUG
Pembrolizumab,classified_as,BIOLOGIC
Pembrolizumab,targets,breast cancer
Pembrolizumab,targets,tnbc - triple-negative breast cancer
Pembrolizumab,targets,metastatic breast cancer
Pembrolizumab,targets,triple negative breast cancer
Pembrolizumab,targets,TNBC
NCT04683679,tests,Olaparib
Olaparib,has_type,DRUG
Olaparib,classified_as,BIOLOGIC
Olaparib,targets,breast cancer
Olaparib,targets,tnbc - triple-negative breast cancer
Olaparib,targets,metastatic breast cancer
Olaparib,targets,triple negative breast cancer
Olaparib,targets,TNBC
NCT04683679,tests,Radiation
Radiation,has_type,DRUG
Radiation,classified_as,OTHER
Radiation,targets,breast cancer
Radiation,targets,tnbc - triple-negative breast cancer
Radiation,targets,metastatic breast cancer
Radiation,targets,triple negative breast cancer
Radiation,targets,TNBC
NCT04925284,sponsored_by,Exelixis
NCT04925284,has_status,COMPLETED
NCT04925284,tests,XB002
XB002,has_type,DRUG
XB002,classified_as,OTHER
XB002,targets,scchn
XB002,targets,pancreatic cancer
XB002,targets,tissue factor-expressing solid tumors
XB002,targets,metastatic castration-resistant prostate cancer
XB002,targets,esophageal scc
XB002,targets,triple negative breast cancer
XB002,targets,epithelial ovarian cancer
XB002,targets,cervical cancer
XB002,targets,hormone receptor-positive breast cancer
XB002,targets,endometrial cancer
XB002,targets,non small cell lung cancer
XB002,targets,TNBC
NCT04925284,tests,Nivolumab
Nivolumab,has_type,DRUG
Nivolumab,classified_as,BIOLOGIC
Nivolumab,targets,scchn
Nivolumab,targets,pancreatic cancer
Nivolumab,targets,tissue factor-expressing solid tumors
Nivolumab,targets,metastatic castration-resistant prostate cancer
Nivolumab,targets,esophageal scc
Nivolumab,targets,triple negative breast cancer
Nivolumab,targets,epithelial ovarian cancer
Nivolumab,targets,cervical cancer
Nivolumab,targets,hormone receptor-positive breast cancer
Nivolumab,targets,endometrial cancer
Nivolumab,targets,non small cell lung cancer
Nivolumab,targets,TNBC
NCT04925284,tests,Bevacizumab
Bevacizumab,has_type,DRUG
Bevacizumab,classified_as,BIOLOGIC
Bevacizumab,targets,scchn
Bevacizumab,targets,pancreatic cancer
Bevacizumab,targets,tissue factor-expressing solid tumors
Bevacizumab,targets,metastatic castration-resistant prostate cancer
Bevacizumab,targets,esophageal scc
Bevacizumab,targets,triple negative breast cancer
Bevacizumab,targets,epithelial ovarian cancer
Bevacizumab,targets,cervical cancer
Bevacizumab,targets,hormone receptor-positive breast cancer
Bevacizumab,targets,endometrial cancer
Bevacizumab,targets,non small cell lung cancer
Bevacizumab,targets,TNBC
NCT06533384,sponsored_by,Guangdong Provincial People's Hospital
NCT06533384,has_status,RECRUITING
NCT06533384,tests,"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy."
"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.",has_type,DRUG
"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.",classified_as,BIOLOGIC
"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.",targets,triple-negative breast cancer
"As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.",targets,TNBC
NCT06533384,tests,9 cycles of Camrelizumab as adjuvant therapy.
9 cycles of Camrelizumab as adjuvant therapy.,has_type,DRUG
9 cycles of Camrelizumab as adjuvant therapy.,classified_as,BIOLOGIC
9 cycles of Camrelizumab as adjuvant therapy.,targets,triple-negative breast cancer
9 cycles of Camrelizumab as adjuvant therapy.,targets,TNBC
NCT00203502,sponsored_by,University of Arkansas
NCT00203502,has_status,COMPLETED
NCT00203502,tests,Bevacizumab
Bevacizumab,has_type,DRUG
Bevacizumab,classified_as,BIOLOGIC
Bevacizumab,targets,breast cancer
NCT00203502,tests,Cyclophosphamide
Cyclophosphamide,has_type,DRUG
Cyclophosphamide,classified_as,CHEMICAL
Cyclophosphamide,targets,breast cancer
NCT00203502,tests,Docetaxel
Docetaxel,has_type,DRUG
Docetaxel,classified_as,CHEMICAL
Docetaxel,targets,breast cancer
NCT06036121,sponsored_by,Adcentrx Therapeutics
NCT06036121,has_status,RECRUITING
NCT06036121,tests,ADRX-0706
ADRX-0706,has_type,DRUG
ADRX-0706,classified_as,OTHER
ADRX-0706,targets,solid tumors
ADRX-0706,targets,cervical cancer
ADRX-0706,targets,triple negative breast cancer (tnbc)
ADRX-0706,targets,urothelial cancer
ADRX-0706,targets,TNBC
NCT02900664,sponsored_by,Novartis Pharmaceuticals
NCT02900664,has_status,COMPLETED
NCT02900664,tests,PDR001
PDR001,has_type,DRUG
PDR001,classified_as,OTHER
PDR001,targets,"colorectal cancer, triple negative breast cancer, nsclc - adenocarcinoma"
PDR001,targets,TNBC
NCT02900664,tests,ACZ885
ACZ885,has_type,DRUG
ACZ885,classified_as,OTHER
ACZ885,targets,"colorectal cancer, triple negative breast cancer, nsclc - adenocarcinoma"
ACZ885,targets,TNBC
NCT02900664,tests,CJM112
CJM112,has_type,DRUG
CJM112,classified_as,OTHER
CJM112,targets,"colorectal cancer, triple negative breast cancer, nsclc - adenocarcinoma"
CJM112,targets,TNBC
NCT02900664,tests,TMT212
TMT212,has_type,DRUG
TMT212,classified_as,OTHER
